ID,Image,method,edge density,time (ms)
31,airplane_00031.png,Sobel,0.2285953443877551,0.4210472106933594
31,airplane_00031.png,Prewitt,0.22833625637755103,0.5934238433837891
31,airplane_00031.png,Canny,0.001175860969387755,0.2605915069580078
32,airplane_00032.png,Sobel,0.10620615433673469,0.25963783264160156
32,airplane_00032.png,Prewitt,0.10610650510204081,0.5719661712646484
32,airplane_00032.png,Canny,0.0,0.2505779266357422
33,airplane_00033.png,Sobel,0.22138073979591838,0.2288818359375
33,airplane_00033.png,Prewitt,0.2196468431122449,0.5643367767333984
33,airplane_00033.png,Canny,0.0008769132653061224,0.217437744140625
34,airplane_00034.png,Sobel,0.1763592155612245,0.2913475036621094
34,airplane_00034.png,Prewitt,0.1777941645408163,0.5483627319335938
34,airplane_00034.png,Canny,0.0,0.6017684936523438
35,airplane_00035.png,Sobel,0.14425223214285715,0.23889541625976562
35,airplane_00035.png,Prewitt,0.14481026785714285,0.5512237548828125
35,airplane_00035.png,Canny,0.00705516581632653,0.2193450927734375
36,airplane_00036.png,Sobel,0.2551817602040816,0.2186298370361328
36,airplane_00036.png,Prewitt,0.2587093431122449,0.5147457122802734
36,airplane_00036.png,Canny,0.0030293367346938774,0.2608299255371094
37,airplane_00037.png,Sobel,0.13313137755102042,0.4050731658935547
37,airplane_00037.png,Prewitt,0.13309151785714285,0.8425712585449219
37,airplane_00037.png,Canny,0.0024912308673469387,0.24390220642089844
38,airplane_00038.png,Sobel,0.20770886479591838,0.23555755615234375
38,airplane_00038.png,Prewitt,0.21358816964285715,0.5254745483398438
38,airplane_00038.png,Canny,0.002650669642857143,0.22912025451660156
39,airplane_00039.png,Sobel,0.2615991709183674,0.30112266540527344
39,airplane_00039.png,Prewitt,0.2648078762755102,0.6654262542724609
39,airplane_00039.png,Canny,0.0016541772959183674,0.2503395080566406
40,airplane_00040.png,Sobel,0.16266741071428573,0.21076202392578125
40,airplane_00040.png,Prewitt,0.16336495535714285,0.5414485931396484
40,airplane_00040.png,Canny,0.0,0.20384788513183594
41,airplane_00041.png,Sobel,0.18199936224489796,0.21338462829589844
41,airplane_00041.png,Prewitt,0.18062420280612246,0.545501708984375
41,airplane_00041.png,Canny,0.0062380420918367345,0.3371238708496094
42,airplane_00042.png,Sobel,0.23164461096938777,0.2269744873046875
42,airplane_00042.png,Prewitt,0.23295998086734693,0.5512237548828125
42,airplane_00042.png,Canny,0.0,0.20003318786621094
43,airplane_00043.png,Sobel,0.11573262117346939,0.42128562927246094
43,airplane_00043.png,Prewitt,0.11678890306122448,0.5702972412109375
43,airplane_00043.png,Canny,0.0,0.29754638671875
44,airplane_00044.png,Sobel,0.24607382015306123,0.22530555725097656
44,airplane_00044.png,Prewitt,0.2463329081632653,0.5316734313964844
44,airplane_00044.png,Canny,0.0,0.25916099548339844
45,airplane_00045.png,Sobel,0.16571667729591838,0.24199485778808594
45,airplane_00045.png,Prewitt,0.16603555484693877,0.5397796630859375
45,airplane_00045.png,Canny,0.0,0.23174285888671875
46,airplane_00046.png,Sobel,0.12521922831632654,0.26988983154296875
46,airplane_00046.png,Prewitt,0.12541852678571427,0.5702972412109375
46,airplane_00046.png,Canny,0.0,0.35262107849121094
47,airplane_00047.png,Sobel,0.18889508928571427,0.2510547637939453
47,airplane_00047.png,Prewitt,0.18907445790816327,0.5185604095458984
47,airplane_00047.png,Canny,0.0,0.2570152282714844
48,airplane_00048.png,Sobel,0.1656170280612245,0.24890899658203125
48,airplane_00048.png,Prewitt,0.16515864158163265,0.5347728729248047
48,airplane_00048.png,Canny,0.0038066007653061226,0.24652481079101562
49,airplane_00049.png,Sobel,0.1710578762755102,0.32711029052734375
49,airplane_00049.png,Prewitt,0.17020089285714285,0.591278076171875
49,airplane_00049.png,Canny,0.0,0.32806396484375
50,airplane_00050.png,Sobel,0.14847735969387754,0.3533363342285156
50,airplane_00050.png,Prewitt,0.1484972895408163,0.5233287811279297
50,airplane_00050.png,Canny,0.0010363520408163266,0.24127960205078125
51,airplane_00051.png,Sobel,0.13675860969387754,0.23865699768066406
51,airplane_00051.png,Prewitt,0.1369579081632653,0.5311965942382812
51,airplane_00051.png,Canny,0.005620216836734694,0.22268295288085938
52,airplane_00052.png,Sobel,0.20804767219387754,0.2224445343017578
52,airplane_00052.png,Prewitt,0.2074298469387755,0.5466938018798828
52,airplane_00052.png,Canny,0.0,0.4413127899169922
53,airplane_00053.png,Sobel,0.24402104591836735,0.209808349609375
53,airplane_00053.png,Prewitt,0.24346301020408162,0.5595684051513672
53,airplane_00053.png,Canny,0.00029894770408163266,0.23674964904785156
54,airplane_00054.png,Sobel,0.03736846301020408,0.2760887145996094
54,airplane_00054.png,Prewitt,0.03724888392857143,0.5679130554199219
54,airplane_00054.png,Canny,0.0,0.23484230041503906
55,airplane_00055.png,Sobel,0.15212452168367346,0.4839897155761719
55,airplane_00055.png,Prewitt,0.1529217155612245,0.5919933319091797
55,airplane_00055.png,Canny,0.0,0.28586387634277344
56,airplane_00056.png,Sobel,0.13171635841836735,0.29158592224121094
56,airplane_00056.png,Prewitt,0.13205516581632654,0.5369186401367188
56,airplane_00056.png,Canny,0.00723453443877551,0.3440380096435547
57,airplane_00057.png,Sobel,0.1390106823979592,0.23484230041503906
